MUNICIPIO,departamento,SUPERFICIE SEMBRADA (Mz),SUPERFICIE COSECHADA PARA GRANO Y SEMILLA (Mz),PRODUCCIÓN PARA GRANO Y SEMILLA (QQ),ANIO,ORIGEN_DATOS,shape_leng,shape_area,gid
OLOCUILTA,LA PAZ,154.21,154.21,2367,2121,iv Censo Agropecuario 2007-2008 Resultados departamentales y municipales,0.4761749817690,0.005831889743100,83
SAN JUAN TALPA,LA PAZ,35.27,35.27,601,2173,iv Censo Agropecuario 2007-2008 Resultados departamentales y municipales,0.1548606917240,0.000981024510155,84
EL ROSARIO,LA PAZ,19.64,19.64,356,2060,iv Censo Agropecuario 2007-2008 Resultados departamentales y municipales,0.4315506108130,0.004502658420210,85
SAN ANTONIO MASAHUAT,LA PAZ,130.18,130.18,1545,2143,iv Censo Agropecuario 2007-2008 Resultados departamentales y municipales,0.2559215697950,0.002608821392100,86
TAPALHUACA,LA PAZ,82.24,82.24,1163,2234,iv Censo Agropecuario 2007-2008 Resultados departamentales y municipales,0.2615705119610,0.002351180095080,87
CUYULTITAN,LA PAZ,27.41,27.41,234,2045,iv Censo Agropecuario 2007-2008 Resultados departamentales y municipales,0.1785770421010,0.001093706330010,88
SAN FRANCISCO CHINAMECA,LA PAZ,197.47,188.03,2948,2155,iv Censo Agropecuario 2007-2008 Resultados departamentales y municipales,0.3661922061150,0.004118631232710,89
SAN JUAN TEPEZONTES,LA PAZ,180.88,179.33,2574,2174,iv Censo Agropecuario 2007-2008 Resultados departamentales y municipales,0.1910671750170,0.001786297630600,90
SANTIAGO NONUALCO,LA PAZ,207.58,189.58,2720,2218,iv Censo Agropecuario 2007-2008 Resultados departamentales y municipales,0.8598914090840,0.012135100608900,91
SAN PEDRO MASAHUAT,LA PAZ,68.72,68.72,926,2189,iv Censo Agropecuario 2007-2008 Resultados departamentales y municipales,0.7261882613220,0.008140573077260,92
SAN JUAN NONUALCO,LA PAZ,108.72,108.72,1561,2171,iv Censo Agropecuario 2007-2008 Resultados departamentales y municipales,0.6495053770930,0.005468513291860,93
ZACATECOLUCA,LA PAZ,878.59,858.06,13039,2255,iv Censo Agropecuario 2007-2008 Resultados departamentales y municipales,0.9983942496120,0.023682294460100,94
SAN RAFAEL OBRAJUELO,LA PAZ,32.52,32.52,683,2195,iv Censo Agropecuario 2007-2008 Resultados departamentales y municipales,0.2421382831870,0.001062983864070,95
SAN LUIS LA HERRADURA,LA PAZ,212.46,210.93,3196,2180,iv Censo Agropecuario 2007-2008 Resultados departamentales y municipales,0.6681975088970,0.008709912960830,96
SAN PEDRO NONUALCO,LA PAZ,159.09,159.09,2455,2190,iv Censo Agropecuario 2007-2008 Resultados departamentales y municipales,0.2648092153510,0.003294846119900,97
SANTA MARIA OSTUMA,LA PAZ,186.95,186.95,2803,2211,iv Censo Agropecuario 2007-2008 Resultados departamentales y municipales,0.2258168748620,0.001854951619010,98
PARAISO DE OSORIO,LA PAZ,206.60,205.92,3122,2126,iv Censo Agropecuario 2007-2008 Resultados departamentales y municipales,0.1143519247980,0.000650055771920,99
SAN EMIGDIO,LA PAZ,143.08,140.75,1713,2151,iv Censo Agropecuario 2007-2008 Resultados departamentales y municipales,0.2050498778260,0.001119634160300,100
SAN MIGUEL TEPEZONTES,LA PAZ,225.12,224.58,2413,2187,iv Censo Agropecuario 2007-2008 Resultados departamentales y municipales,0.2950978230370,0.002208209012170,101
JERUSALEN,LA PAZ,128.72,128.72,1779,2079,iv Censo Agropecuario 2007-2008 Resultados departamentales y municipales,0.1613471261120,0.000769719978635,102
MERCEDES LA CEIBA,LA PAZ,39.18,38.35,401,2104,iv Censo Agropecuario 2007-2008 Resultados departamentales y municipales,0.0772793408504,0.000205510951256,103
ILOBASCO,CABANAS,3634.93,3613.16,32429,2074,iv Censo Agropecuario 2007-2008 Resultados departamentales y municipales,0.6942990116430,0.019627813762600,104
SAN ISIDRO,CABANAS,201.84,180.40,2161,2164,iv Censo Agropecuario 2007-2008 Resultados departamentales y municipales,0.4355927137010,0.006503317236710,105
JUTIAPA,CABANAS,263.54,260.00,1953,2089,iv Censo Agropecuario 2007-2008 Resultados departamentales y municipales,0.4482731632890,0.007215785179000,106
TEJUTEPEQUE,CABANAS,1137.56,1128.69,12761,2237,iv Censo Agropecuario 2007-2008 Resultados departamentales y municipales,0.3544270480920,0.003544064510120,107
