MUNICIPIO,departamento,SUPERFICIE SEMBRADA,SUPERFICIE SEMBRADA CON SEMILLA MEJORADA,SUPERFICIE COSECHADA PARA GRANO Y SEMILLA,SUPERFICIE COSECHADA PARA FORRAJE VERDE (Mz),SUPERFICIE COSECHADA PARA ELOTE (Mz),PRODUCCIÓN PARA GRANO Y SEMILLA (QQ),PRODUCCIÓN PARA FORRAJE VERDE (TM),PRODUCCIÓN PARA ELOTE (CIENTOS),ANIO,ORIGEN_DATOS,shape_leng,shape_area,gid
ZACATECOLUCA,LA PAZ,5465.12,4970.04,5317.15,39.85,39.40,249229,636,12843,2255,iv Censo Agropecuario 2007-2008 Resultados departamentales y municipales,0.9983942496120,0.023682294460100,94
SAN RAFAEL OBRAJUELO,LA PAZ,465.92,455.38,465.92,,,28640,,,2195,iv Censo Agropecuario 2007-2008 Resultados departamentales y municipales,0.2421382831870,0.001062983864070,95
SAN LUIS LA HERRADURA,LA PAZ,1067.05,886.84,990.08,45.47,,41028,1662,,2180,iv Censo Agropecuario 2007-2008 Resultados departamentales y municipales,0.6681975088970,0.008709912960830,96
SAN PEDRO NONUALCO,LA PAZ,640.08,587.24,639.05,,,35480,,,2190,iv Censo Agropecuario 2007-2008 Resultados departamentales y municipales,0.2648092153510,0.003294846119900,97
SANTA MARIA OSTUMA,LA PAZ,541.25,421.52,528.06,,,28541,,,2211,iv Censo Agropecuario 2007-2008 Resultados departamentales y municipales,0.2258168748620,0.001854951619010,98
PARAISO DE OSORIO,LA PAZ,333.82,302.21,333.82,,,17719,,,2126,iv Censo Agropecuario 2007-2008 Resultados departamentales y municipales,0.1143519247980,0.000650055771920,99
SAN EMIGDIO,LA PAZ,248.08,189.83,248.08,,,9534,,,2151,iv Censo Agropecuario 2007-2008 Resultados departamentales y municipales,0.2050498778260,0.001119634160300,100
SAN MIGUEL TEPEZONTES,LA PAZ,371.84,338.94,371.68,,0.16,17091,,55,2187,iv Censo Agropecuario 2007-2008 Resultados departamentales y municipales,0.2950978230370,0.002208209012170,101
JERUSALEN,LA PAZ,268.87,249.85,268.71,,0.16,14591,,54,2079,iv Censo Agropecuario 2007-2008 Resultados departamentales y municipales,0.1613471261120,0.000769719978635,102
MERCEDES LA CEIBA,LA PAZ,53.89,41.43,53.89,,,2437,,,2104,iv Censo Agropecuario 2007-2008 Resultados departamentales y municipales,0.0772793408504,0.000205510951256,103
ILOBASCO,CABANAS,5747.67,5396.96,5562.90,134.25,26.17,218012,3812,6957,2074,iv Censo Agropecuario 2007-2008 Resultados departamentales y municipales,0.6942990116430,0.019627813762600,104
SAN ISIDRO,CABANAS,1049.51,970.95,869.82,145.74,,37048,3822,,2164,iv Censo Agropecuario 2007-2008 Resultados departamentales y municipales,0.4355927137010,0.006503317236710,105
JUTIAPA,CABANAS,1024.81,918.21,1021.19,,0.25,33888,,60,2089,iv Censo Agropecuario 2007-2008 Resultados departamentales y municipales,0.4482731632890,0.007215785179000,106
TEJUTEPEQUE,CABANAS,1292.23,1083.35,1273.00,5.29,10.10,58698,132,2497,2237,iv Censo Agropecuario 2007-2008 Resultados departamentales y municipales,0.3544270480920,0.003544064510120,107
CINQUERA,CABANAS,309.33,284.51,305.79,,0.35,14893,,81,2027,iv Censo Agropecuario 2007-2008 Resultados departamentales y municipales,0.2710217267430,0.002670870324760,108
SENSUNTEPEQUE,CABANAS,3730.40,3389.49,3520.31,150.14,1.39,142744,4328,327,2224,iv Censo Agropecuario 2007-2008 Resultados departamentales y municipales,1.4059291000400,0.025893112802100,109
VICTORIA,CABANAS,1848.47,1329.94,1745.72,82.94,2.63,59438,2424,526,2250,iv Censo Agropecuario 2007-2008 Resultados departamentales y municipales,0.5614953776490,0.012292261569600,110
GUACOTECTI,CABANAS,476.59,451.83,421.52,39.78,3.96,16257,869,1102,2067,iv Censo Agropecuario 2007-2008 Resultados departamentales y municipales,0.2951533127180,0.002367406370650,111
SANTA CLARA,SAN VICENTE,1603.82,1541.49,1587.73,13.51,1.91,86809,454,483,2205,iv Censo Agropecuario 2007-2008 Resultados departamentales y municipales,0.5849495977640,0.010562565975000,112
SAN ESTEBAN CATARINA,SAN VICENTE,1234.70,1185.33,1192.38,40.02,2.30,61057,997,344,2152,iv Censo Agropecuario 2007-2008 Resultados departamentales y municipales,0.5222377877940,0.007074394192180,113
SAN VICENTE,SAN VICENTE,5181.81,4891.93,5065.06,31.94,24.70,238904,824,7012,2202,iv Censo Agropecuario 2007-2008 Resultados departamentales y municipales,0.9791628925400,0.023221873498200,114
LOLOTIQUILLO,MORAZAN,477.42,243.77,471.37,,0.83,10618,,265,2099,iv Censo Agropecuario 2007-2008 Resultados departamentales y municipales,0.2176425132340,0.002321149830950,115
CHILANGA,MORAZAN,1068.27,535.94,1055.17,4.38,,25011,68,,2023,iv Censo Agropecuario 2007-2008 Resultados departamentales y municipales,0.3609255588550,0.004621201181420,116
